rider_id,rider_name,team_id,team_name,country,stage_1,stage_2,stage_3,stage_4,stage_5,stage_6,stage_7,stage_8,stage_9,stage_10,stage_11
1,POZZOVIVO Domenico,ALM,AG2R LA MONDIALE,ITA,97,88,56,20,20,13,13,9,12,11,14
2,BONNAFOND Guillaume,ALM,AG2R LA MONDIALE,FRA,191,171,123,76,66,71,69,70,69,51,54
3,DOMONT Axel,ALM,AG2R LA MONDIALE,FRA,127,115,134,134,122,76,97,91,86,66,69
4,DUPONT Hubert,ALM,AG2R LA MONDIALE,FRA,177,157,119,65,60,38,38,32,31,27,24
5,GRETSCH Patrick,ALM,AG2R LA MONDIALE,GER,85,78,107,129,132,138,131,135,126,128,133
6,HOULE Hugo,ALM,AG2R LA MONDIALE,CAN,111,100,152,96,83,86,81,97,89,76,97
7,KADRI Blel,ALM,AG2R LA MONDIALE,FRA,167,148,185,188,187,186,184,175,175,165,169
8,MONTAGUTI Matteo,ALM,AG2R LA MONDIALE,ITA,117,107,68,35,34,30,30,21,24,24,23
9,PERAUD Jean Christophe,ALM,AG2R LA MONDIALE,FRA,62,60
11,NIBALI Vincenzo,AST,ASTANA PRO TEAM,ITA,16,15,11,6,6,9,8,5,5,5,5
12,AGNOLI Valerio,AST,ASTANA PRO TEAM,ITA,74,69,47,61,63,47,44,49,46,49,56
13,CAPECCHI Eros,AST,ASTANA PRO TEAM,ITA,116,105,179,122,126,134,138,142,143,126,142
14,FUGLSANG Jakob,AST,ASTANA PRO TEAM,DEN,29,28,18,8,9,2,2,12,10,8,12
15,KANGERT Tanel,AST,ASTANA PRO TEAM,EST,21,20,13,26,25,24,24,24,20,20,21
16,KOZHATAYEV Bakhtiyar,AST,ASTANA PRO TEAM,KAZ,137,123,157,149,149,93,85,82,82,68,59
17,MALACARNE Davide,AST,ASTANA PRO TEAM,ITA,154,135,77,64,58,45,43,45,45,45,43
18,SCARPONI Michele,AST,ASTANA PRO TEAM,ITA,88,81,53,19,19,17,18,19,30,25,35
19,ZEITS Andrey,AST,ASTANA PRO TEAM,KAZ,113,102,65,33,32,39,39,41,41,38,32
21,PIRAZZI Stefano,BAR,BARDIANI CSF,ITA,70,66,45,15,15,20,20,20,18,15,15
22,ANDREETTA Simone,BAR,BARDIANI CSF,ITA,175,193,180,186,186,185,182,180,179,169,145
23,SIMION Paolo,BAR,BARDIANI CSF,ITA,160,141,80,165,148,154,142,144,150,144,127
24,BOEM Nicola,BAR,BARDIANI CSF,ITA,132,187,175,184,181,180,178,177,176,167,163
25,BONGIORNO Francesco Manuel,BAR,BARDIANI CSF,ITA,187,166,121,62,72,46,47,65,70,75,84
26,CICCONE Giulio,BAR,BARDIANI CSF,ITA,165,146,159,139,140,74,93,106,109,60,63
27,COLBRELLI Sonny,BAR,BARDIANI CSF,ITA,102,93,151,84,71,96,92,86,87,86,71
28,MAESTRI Mirco,BAR,BARDIANI CSF,ITA,161,142,90,73,84,104,100,93,93,104,111
29,RUFFONI Nicola,BAR,BARDIANI CSF,ITA,195,177,98,167,165,169,164,162,165,162,160
31,SENNI Manuel,BMC,BMC RACING TEAM,ITA,71,67,106,119,119,103,113,119,125,73,83
32,ATAPUMA Darwin,BMC,BMC RACING TEAM,COL,170,151,85,44,47,34,34,34,35,28,26
33,DE MARCHI Alessandro,BMC,BMC RACING TEAM,ITA,139,124,158,131,146,152,162,102,105,113,120
34,DILLIER Silvan,BMC,BMC RACING TEAM,SUI,10,9
35,KUNG Stefan,BMC,BMC RACING TEAM,SUI,34,33,23,36,36,54,54,67,60,61,52
36,OSS Daniel,BMC,BMC RACING TEAM,ITA,55,53,127,112,133,139,141,143,145,140,123
37,QUINZIATO Manuel,BMC,BMC RACING TEAM,ITA,54,52,35,75,86,107,108,115,118,121,128
38,ROSSKOPF Joseph,BMC,BMC RACING TEAM,USA,78,73,147,146,136,143,134,117,128,129,108
39,ZABEL Rick,BMC,BMC RACING TEAM,GER,77,72,48,101,85,105,99,108,114,146,149
41,URAN URAN Rigoberto,CPT,CANNONDALE PRO CYCLING TEAM,COL,43,42,30,12,12,11,10,7,15,13,11
42,CARDOSO Andre Fernando S,CPT,CANNONDALE PRO CYCLING TEAM,POR,185,164,91,47,44,31,31,28,34,32,28
43,CLARKE Simon,CPT,CANNONDALE PRO CYCLING TEAM,AUS,81,74,49,79,93,92,80,62,66,78,90
44,DOMBROWSKI Joseph Lloyd,CPT,CANNONDALE PRO CYCLING TEAM,USA,107,97,177,113,118,56,63,63,64,50,53
45,FORMOLO Davide,CPT,CANNONDALE PRO CYCLING TEAM,ITA,105,95,60,22,21,23,23,23,25,19,19
46,MOSER Moreno,CPT,CANNONDALE PRO CYCLING TEAM,ITA,6,6,5,21,30,70,74,52,57,56,57
47,NAVARDAUSKAS Ramunas,CPT,CANNONDALE PRO CYCLING TEAM,LTU,26,25,138,132,109,125,123,130,136,142,146
48,BETTIOL Alberto,CPT,CANNONDALE PRO CYCLING TEAM,ITA,72,68,46,78,70,94,91,105,104,77,98
49,BROWN Nathan,CPT,CANNONDALE PRO CYCLING TEAM,USA,130,118,156,97,95,53,57,59,61,42,50
51,ANTON HERNANDEZ Igor,DDD,TEAM DIMENSION DATA,ESP,172,153,118,60,54,36,36,31,29,23,22
52,FRAILE MATARRANZ Omar,DDD,TEAM DIMENSION DATA,ESP,138,188,191,192
53,JIM Songezo,DDD,TEAM DIMENSION DATA,RSA,196,196,193,170,168,165,160,160,162,152,151
54,KUDUS GHEBREMEDHIN Merhawi,DDD,TEAM DIMENSION DATA,ERI,181,160,88,49,49,41,41,40,40,47,45
55,SBARAGLI Kristian,DDD,TEAM DIMENSION DATA,ITA,158,139,79,42,39,64,56,69,68,81,70
56,SIUTSOU Kanstantsin,DDD,TEAM DIMENSION DATA,BLR,69,65,44,17,17,10,9,17,17,16,16
57,THOMSON Jay Robert,DDD,TEAM DIMENSION DATA,RSA,176,156,162,179,178,179,177,176,178,168,165
58,VAN ZYL Johann,DDD,TEAM DIMENSION DATA,RSA,119,109,99,116,115,129,129,110,115,118,102
59,VENTER Jacobus,DDD,TEAM DIMENSION DATA,RSA,96,195,126,127,116,130,125,76,76,89,100
61,KITTEL Marcel,EQS,ETIXX - QUICK-STEP,GER,5,3,1,95,106,124,130,134
62,BRAMBILLA Gianluca,EQS,ETIXX - QUICK-STEP,ITA,108,98,62,24,23,22,22,1,1,6,9
63,DE LA CRUZ David,EQS,ETIXX - QUICK-STEP,ESP,45,45,33,29,28,25,25,30,27,33,33
64,JUNGELS Bob,EQS,ETIXX - QUICK-STEP,LUX,7,7,6,2,2,4,4,14,2,1,1
65,SABATINI Fabio,EQS,ETIXX - QUICK-STEP,ITA,95,87,55,103,112,128,136,140,137,133,137
66,SERRY Pieter,EQS,ETIXX - QUICK-STEP,BEL,38,38,27,56,69,75,87,75,67,67,80
67,TRENTIN Matteo,EQS,ETIXX - QUICK-STEP,ITA,162,143,93,51,52,80,71,56,56,74,61
68,VERONA Carlos,EQS,ETIXX - QUICK-STEP,ESP,134,120,70,37,37,26,26,25,22,21,34
69,WISNIOWSKI Lukasz,EQS,ETIXX - QUICK-STEP,POL,18,17,12,156,158,163,163,161,157,153,148
71,DEMARE Arnaud,FDJ,FDJ,FRA,66,44,32,59,53,81,73,95,96,135,143
72,COURTEILLE Arnaud,FDJ,FDJ,FRA,129,117,155,148,151,157,155,127,129,150,158
73,DELAGE Mickael,FDJ,FDJ,FRA,150,131,117,171,157,162,147,149,148,159,167
74,FISCHER Murilo Antonio,FDJ,FDJ,BRA,121,111,181,187,173,173,169,168,167,172,176
75,GENIEZ Alexandre,FDJ,FDJ,FRA,20,19,103
76,KONOVALOVAS Ignatas,FDJ,FDJ,LTU,52,50,144,111,101,120,109,116,123,149,155
77,LE GAC Olivier,FDJ,FDJ,FRA,124,194,150,147,150,156,146,148,153,166,171
78,SARREAU Marc,FDJ,FDJ,FRA,120,110,153,177,171,177,176,174,168,173,177
79,VAUGRENARD Benoit,FDJ,FDJ,FRA,65,179,101,94,104,123,120,125,119,148,153
81,KOLOBNEV Alexandr,GAZ,GAZPROM - RUSVELO,RUS,183,161,89,89,76,99,102,98,111,106,85
82,RYBALKIN Aleksey,GAZ,GAZPROM - RUSVELO,RUS,178,158,186,162,169,168,167,166,160,171,170
83,ERSHOV Artur,GAZ,GAZPROM - RUSVELO,RUS,84,77,51,161,167,170,180,181,180,179,180
84,FIRSANOV Sergey,GAZ,GAZPROM - RUSVELO,RUS,106,96,61,23,22,18,19,15,19,17,17
85,FOLIFOROV Alexander,GAZ,GAZPROM - RUSVELO,RUS,153,134,184,160,163,106,117,123,116,82,96
86,OVECHKIN Artem,GAZ,GAZPROM - RUSVELO,RUS,83,76,148,176,182,181,179,178,171,163,161
87,SAVITSKIY Ivan,GAZ,GAZPROM - RUSVELO,RUS,142,125,74,86,73,97,90,103,110,114,95
88,SEROV Alexander,GAZ,GAZPROM - RUSVELO,RUS,58,56,131,141,143,150,139,126,120,122,129
89,SOLOMENNIKOV Andrey,GAZ,GAZPROM - RUSVELO,RUS,168,149,84,137,141,148,145,147,149,143,147
91,HAUSSLER Heinrich,IAM,IAM CYCLING,AUS,123,113,83,66,59,87,76,81,75,88,74
92,BRANDLE Matthias,IAM,IAM CYCLING,AUT,9,8,7,155,191,191,189,186,184,181,182
