rider_id,rider_name,team_id,team_name,country,stage_1,stage_2,stage_3,stage_4,stage_5,stage_6,stage_7,stage_8,stage_9,stage_10,stage_11,stage_12,stage_13,stage_14,stage_15
1,POZZOVIVO Domenico,ALM,AG2R LA MONDIALE,ITA,710,17421,33246,50463,70902,87791,105859,121208,124532,145339,163221,178581,194967,217123,218974
2,BONNAFOND Guillaume,ALM,AG2R LA MONDIALE,FRA,754,17465,33387,50774,71213,88796,106873,122848,126296,147108,165695,181055,198666,221938,223966
3,DOMONT Axel,ALM,AG2R LA MONDIALE,FRA,720,17431,33551,51167,71710,88864,107271,123246,126685,147959,166546,181906,199517,222593,224571
4,DUPONT Hubert,ALM,AG2R LA MONDIALE,FRA,741,17452,33374,50656,71107,88015,106092,121492,124956,145795,163752,179112,195548,217756,219609
5,GRETSCH Patrick,ALM,AG2R LA MONDIALE,GER,707,17418,33340,51135,71766,89621,107770,124100,127303,149628,168215,183575
6,HOULE Hugo,ALM,AG2R LA MONDIALE,CAN,713,17424,33612,50894,71366,88949,107098,123428,126724,148418,167275,182635,200246,224102,226136
7,KADRI Blel,ALM,AG2R LA MONDIALE,FRA,736,17447,33731,51914,72696,90551,108888,124862,128314,150639,169496,184856,203128,227731,229645
8,MONTAGUTI Matteo,ALM,AG2R LA MONDIALE,ITA,716,17427,33252,50506,70945,87928,106005,121310,124687,145628,163585,178945,195331,218083,220000
9,PERAUD Jean Christophe,ALM,AG2R LA MONDIALE,FRA,701,17412
11,NIBALI Vincenzo,AST,ASTANA PRO TEAM,ITA,682,17393,33218,50435,70874,87782,105850,121199,124437,145244,163049,178409,194791,216804,218653
12,AGNOLI Valerio,AST,ASTANA PRO TEAM,ITA,704,17415,33240,50627,71170,88238,106315,122165,125590,147042,165899
13,CAPECCHI Eros,AST,ASTANA PRO TEAM,ITA,715,17426,33710,51052,71723,89578,107820,124150,127543,149615,168472,183832,201443,224890,226864
14,FUGLSANG Jakob,AST,ASTANA PRO TEAM,DEN,691,17402,33227,50444,70883,87761,105829,121226,124495,145298,163199,178559,194945,217101,218957
15,KANGERT Tanel,AST,ASTANA PRO TEAM,EST,684,17395,33220,50474,70913,87854,105931,121339,124664,145605,163562,178922,195840,218528,220328
16,KOZHATAYEV Bakhtiyar,AST,ASTANA PRO TEAM,KAZ,724,17435,33623,51324,71955,89047,107124,123099,126559,148011,166111,181471,199743,223599,225703
17,MALACARNE Davide,AST,ASTANA PRO TEAM,ITA,729,17440,33265,50652,71091,88146,106214,122064,125568,146933,164867,180227,197145,220592,222633
18,SCARPONI Michele,AST,ASTANA PRO TEAM,ITA,708,17419,33244,50461,70900,87808,105885,121285,124824,145652,164509,179869,196305,218461,220216
19,ZEITS Andrey,AST,ASTANA PRO TEAM,KAZ,714,17425,33250,50504,70943,88035,106112,121839,125347,146288,164245,179605,196168,218856,220743
21,PIRAZZI Stefano,BAR,BARDIANI CSF,ITA,703,17414,33239,50455,70894,87816,105893,121293,124632,145442,163247,178607,195216,217573,219505
22,ANDREETTA Simone,BAR,BARDIANI CSF,ITA,741,17525,33713,51896,72678,90533,108775,125105,128509,150834,168785,184145,202417,227020,229001
23,SIMION Paolo,BAR,BARDIANI CSF,ITA,732,17443,33268,51451,71944,89799,107867,124197,127639,149964,168064,183424,201716,226319,228387
24,BOEM Nicola,BAR,BARDIANI CSF,ITA,722,17506,33694,51877,72543,90398,108640,124970,128325,150705,169301,184661,202933,227127,229081
25,BONGIORNO Francesco Manuel,BAR,BARDIANI CSF,ITA,750,17461,33383,50637,71268,88209,106451,122781,126322,148394,166981,182341,200613,224801,226799
26,CICCONE Giulio,BAR,BARDIANI CSF,ITA,734,17445,33633,51204,71870,88823,107228,123558,127073,147735,166342,181702,199974,222331,224175
27,COLBRELLI Sonny,BAR,BARDIANI CSF,ITA,711,17422,33610,50827,71258,89113,107216,123191,126692,148764,166569,181929,200201,224389,226304
28,MAESTRI Mirco,BAR,BARDIANI CSF,ITA,732,17443,33282,50745,71376,89231,107308,123283,126804,149129,167637,182995,201267,225870,227823
29,RUFFONI Nicola,BAR,BARDIANI CSF,ITA,764,17475,33300,51483,72114,90166,108234,124564,128093,150602,169189,184549
31,SENNI Manuel,BMC,BMC RACING TEAM,ITA,704,17415,33337,51038,71669,89220,107462,123792,127286,148355,166942,182469,200080,222832,224892
32,ATAPUMA Darwin,BMC,BMC RACING TEAM,COL,737,17448,33273,50527,70985,87968,106045,121595,125097,145845,163802,179162,195624,217606,219523
33,DE MARCHI Alessandro,BMC,BMC RACING TEAM,ITA,725,17436,33624,51139,71921,89776,108186,123524,126998,149361,167882,183242,200337,224956,226892
34,DILLIER Silvan,BMC,BMC RACING TEAM,SUI,679,17390
35,KUNG Stefan,BMC,BMC RACING TEAM,SUI,693,17404,33229,50511,70950,88533,106715,122794,125957,147761,165645,181005,199277,222724,224683
36,OSS Daniel,BMC,BMC RACING TEAM,ITA,699,17410,33416,50987,71766,89621,107863,124193,127563,149888,167974,183585,201857,226460,228482
37,QUINZIATO Manuel,BMC,BMC RACING TEAM,ITA,699,17410,33235,50764,71395,89250,107435,123765,127194,149519,168106,183466,201738,225594,227654
38,ROSSKOPF Joseph,BMC,BMC RACING TEAM,USA,705,17416,33604,51305,71798,89653,107802,123777,127328,149653,167554,182914,201186,225042,226994
39,ZABEL Rick,BMC,BMC RACING TEAM,GER,705,17416,33241,50942,71377,89232,107300,123630,127112,150039,168896,184256,202528,227131,229152
41,URAN URAN Rigoberto,CPT,CANNONDALE PRO CYCLING TEAM,COL,696,17407,33232,50449,70888,87786,105854,121203,124560,145367,163172,178532,194918,217064,218981
42,CARDOSO Andre Fernando S,CPT,CANNONDALE PRO CYCLING TEAM,POR,749,17460,33285,50539,70978,87931,106008,121424,125009,145950,163907,179267,195830,218187,220044
43,CLARKE Simon,CPT,CANNONDALE PRO CYCLING TEAM,AUS,706,17417,33242,50813,71444,89027,107095,122645,126203,148528,167115,182475,200086,223942,225947
44,DOMBROWSKI Joseph Lloyd,CPT,CANNONDALE PRO CYCLING TEAM,USA,713,17424,33708,50990,71661,88569,106811,122661,126162,147103,165690,181050,197436,219996,221767
45,FORMOLO Davide,CPT,CANNONDALE PRO CYCLING TEAM,ITA,713,17424,33249,50466,70905,87846,105923,121323,124706,145524,163329,178689,195125,218759,220676
46,MOSER Moreno,CPT,CANNONDALE PRO CYCLING TEAM,ITA,675,17386,33211,50465,70939,88794,106985,122313,125895,147347,165934,181294,197730,220838,222745
47,NAVARDAUSKAS Ramunas,CPT,CANNONDALE PRO CYCLING TEAM,LTU,689,17400,33588,51159,71598,89453,107644,123974,127432,149945,168802,184162,202434,227037,229073
48,BETTIOL Alberto,CPT,CANNONDALE PRO CYCLING TEAM,ITA,704,17415,33240,50811,71250,89105,107208,123538,126991,148443,167300,182660,200271,224127,226115
49,BROWN Nathan,CPT,CANNONDALE PRO CYCLING TEAM,USA,721,17432,33620,50902,71445,88493,106735,122585,126023,146808,165316,180676,198101,221957,223887
51,ANTON HERNANDEZ Igor,DDD,TEAM DIMENSION DATA,ESP,738,17449,33371,50625,71064,87972,106049,121457,124809,145621,163578,178938,195547,218819,220852
52,FRAILE MATARRANZ Omar,DDD,TEAM DIMENSION DATA,ESP,725,17508,33792,51975
53,JIM Songezo,DDD,TEAM DIMENSION DATA,RSA,770,17554,33838,51539,72210,89920,108162,124492,127995,150320,168907,184267,202539,227142,229210
54,KUDUS GHEBREMEDHIN Merhawi,DDD,TEAM DIMENSION DATA,ERI,744,17455,33280,50562,71001,88037,106114,121817,125302,146996,164953,180313,197448,220720,222716
55,SBARAGLI Kristian,DDD,TEAM DIMENSION DATA,ITA,731,17442,33267,50521,70956,88666,106734,122813,126288,148613,166547,181907,200179,224035,226106
56,SIUTSOU Kanstantsin,DDD,TEAM DIMENSION DATA,BLR,703,17414,33239,50456,70895,87784,105852,121252,124632,145448,163253,178613,195088,217101,218939
57,THOMSON Jay Robert,DDD,TEAM DIMENSION DATA,RSA,741,17452,33640,51823,72494,90349,108591,124921,128408,150733,169320,184822,203094,227697,229761
58,VAN ZYL Johann,DDD,TEAM DIMENSION DATA,RSA,716,17427,33302,51003,71634,89489,107731,123706,127125,149450,167384,182744,200169,224025,225996
59,VENTER Jacobus,DDD,TEAM DIMENSION DATA,RSA,709,17531,33407,51108,71638,89493,107684,123017,126497,148822,167330,182690,200301,224417,226354
61,KITTEL Marcel,EQS,ETIXX - QUICK-STEP,GER,674,17375,33190,50891,71562,89417,107754,124084
62,BRAMBILLA Gianluca,EQS,ETIXX - QUICK-STEP,ITA,713,17424,33249,50466,70905,87842,105919,121154,124384,145263,163145,178505,194951,218807,220723
63,DE LA CRUZ David,EQS,ETIXX - QUICK-STEP,ESP,697,17408,33233,50487,70926,87867,105944,121444,124716,145956,164289,179649,197479,220114,221923
64,JUNGELS Bob,EQS,ETIXX - QUICK-STEP,LUX,676,17387,33212,50429,70864,87770,105838,121235,124385,145192,162980,178340,194776,217133,218916
65,SABATINI Fabio,EQS,ETIXX - QUICK-STEP,ITA,709,17420,33245,50946,71617,89472,107809,124139,127445,149770,168278,183638,201910,226098
66,SERRY Pieter,EQS,ETIXX - QUICK-STEP,BEL,695,17406,33231,50610,71241,88824,107161,123011,126223,148010,166867,182227,199838,223538,225486
67,TRENTIN Matteo,EQS,ETIXX - QUICK-STEP,ITA,734,17445,33290,50572,71037,88892,106960,122435,125871,148380,166185,181545,199817,224005,226046
68,VERONA Carlos,EQS,ETIXX - QUICK-STEP,ESP,722,17433,33258,50512,70951,87873,105950,121358,124672,145613,164470,179830,197441,220129,222008
69,WISNIOWSKI Lukasz,EQS,ETIXX - QUICK-STEP,POL,683,17394,33219,51402,72033,89888,108225,124555,127832,150341,168849,184209,202481,227084,229089
71,DEMARE Arnaud,FDJ,FDJ,FRA,703,17408,33233,50620,71049,88904,106972,123302,126868,149795,168652,184012,202284
72,COURTEILLE Arnaud,FDJ,FDJ,FRA,720,17431,33619,51320,71986,89841,108083,123933,127329,150256,169113,184473,202745,226933,228797
73,DELAGE Mickael,FDJ,FDJ,FRA,728,17439,33370,51553,72031,89886,107963,124293,127616,150543,169400,184760,203032,227635,229713
74,FISCHER Murilo Antonio,FDJ,FDJ,BRA,718,17429,33713,51896,72439,90294,108443,124773,128210,151137,169994,185354,203626,227814,229930
75,GENIEZ Alexandre,FDJ,FDJ,FRA,684,17395,33317
76,KONOVALOVAS Ignatas,FDJ,FDJ,LTU,698,17409,33597,50984,71491,89346,107435,123765,127258,150185,169042,184402,202674,226862,228859
77,LE GAC Olivier,FDJ,FDJ,FRA,719,17528,33609,51310,71976,89831,107934,124264,127719,150646,169503,184863,203135,227738,229801
78,SARREAU Marc,FDJ,FDJ,FRA,717,17428,33616,51799,72362,90332,108517,124847,128216,151143,170000,185754
79,VAUGRENARD Benoit,FDJ,FDJ,FRA,703,17482,33307,50878,71544,89399,107584,123914,127198,150125,168982,184342,202172,226028,228023
81,KOLOBNEV Alexandr,GAZ,GAZPROM - RUSVELO,RUS,745,17456,33281,50852,71310,89165,107350,123429,127084,149156,167060,182420,200031,223968,226055
82,RYBALKIN Aleksey,GAZ,GAZPROM - RUSVELO,RUS,741,17452,33736,51437,72219,90074,108316,124646,127984,150911,169498,184858,202469,227072,228908
83,ERSHOV Artur,GAZ,GAZPROM - RUSVELO,RUS,706,17417,33242,51425,72207,90179,108668,125190,128726,151653,170510,185870,204142,228745,231078
84,FIRSANOV Sergey,GAZ,GAZPROM - RUSVELO,RUS,713,17424,33249,50466,70905,87809,105886,121235,124656,145474,163279,178639,195774,219711,221460
85,FOLIFOROV Alexander,GAZ,GAZPROM - RUSVELO,RUS,729,17440,33724,51425,72094,89248,107490,123820,127169,148621,167208,182568,198954,222401,224120
86,OVECHKIN Artem,GAZ,GAZPROM - RUSVELO,RUS,706,17417,33605,51788,72570,90425,108667,124997,128278,150603,169190,184804,203076,227679,229575
87,SAVITSKIY Ivan,GAZ,GAZPROM - RUSVELO,RUS,727,17438,33263,50834,71273,89128,107196,123526,127078,149403,167208,182568,200840,224696,226621
88,SEROV Alexander,GAZ,GAZPROM - RUSVELO,RUS,700,17411,33531,51232,71903,89758,107843,123922,127206,149531,168118,183478,201750,226353,228314
89,SOLOMENNIKOV Andrey,GAZ,GAZPROM - RUSVELO,RUS,737,17448,33273,51201,71872,89727,107898,124228,127626,149951,168808,184168,202440,227043,229058
91,HAUSSLER Heinrich,IAM,IAM CYCLING,AUS,719,17430,33271,50658,71097,88952,107020,123099,126495,148820,166724,182084,200356,224959,227022
92,BRANDLE Matthias,IAM,IAM CYCLING,AUT,677,17388,33213,51396,73035,91087,109329,125851,128966,151893,170793,186153,204574
93,HOWARD Leigh,IAM,IAM CYCLING,AUS,693,17404,33229,50930,71458,89313,107381,123711,127087,149412,168269,183629,201901,226089
94,KLUGE Roger,IAM,IAM CYCLING,GER,679,17390,33215,51010,71775,89827,108106,124628,128299,150624,169396,184756,203177,227780,229848
95,PELUCCHI Matteo,IAM,IAM CYCLING,ITA,770,17481,33306,51489,73128
96,DENIFL Stefan,IAM,IAM CYCLING,AUT,711,17520,33708,51171,72027,89882,108289,124143,127401,149726,167683,183297,199683,222435,224435
97,WARBASSE Lawrence,IAM,IAM CYCLING,USA,710,17421,33343,51044,71710,89565
98,WYSS Marcel,IAM,IAM CYCLING,SUI,706,17417,33242,50548,70999,88014,106091,121621,125005,145946,164803,180163,198435,221187,223180
99,LAENGEN Vegard Stake,IAM,IAM CYCLING,NOR,709,17420,33501,51202,71812,89667,107980,124310,127432,149757,167912,183272,201564,225420,227346
100,ULISSI Diego,LAM,LAMPRE - MERIDA,ITA,692,17403,33228,50429,70868,87776,105844,121241,124558,145365,163147,178507,195068,218924,220715
101,CONTI Valerio,LAM,LAMPRE - MERIDA,ITA,710,17421,33246,50528,70979,88036,106113,121663,125112,146053,163858,179218,196136,219992,221886
102,FERRARI Roberto,LAM,LAMPRE - MERIDA,ITA,729,17440,33296,50997,71481,89336,107485,123815,127334,149659,168246,183606,201878,226481,228536
103,KOSHEVOY Ilia,LAM,LAMPRE - MERIDA,BLR,735,17446,33368,51069,71740,89595,108001,124331,127832,149619,168206,183733,201158,225761,227783
104,MODOLO Sacha,LAM,LAMPRE - MERIDA,ITA,719,17426,33251,50533,70972,88682,106746,123076,126662,148987,166792,182152,200087,224690,226664
105,MOHORIC Matej,LAM,LAMPRE - MERIDA,SLO,724,17435,33260,50961,71450,89305,107393,123723,127026,149351,167545,182905,200515,225118,227200
106,MORI Manuele,LAM,LAMPRE - MERIDA,ITA,728,17439,33264,50517,70956,88666,106743,122470,125923,147617,166204,181564,199175,223031,225002
107,NIEMIEC Przemyslaw,LAM,LAMPRE - MERIDA,POL,727,17438,33360,51061,71618,88710,106859,122586,126055,148139,166726,182253,200525
109,PETILLI Simone,LAM,LAMPRE - MERIDA,ITA,727,17438,33263,50650,71281,88991,107176,123506,126976,148077,166664,182024,199635,223491,225325
111,WELLENS Tim,LTS,LOTTO SOUDAL,BEL,691,17402,33590,50977,71759,88553,106795,123125,126527,148852,166657,182017,200289,224145,225960
112,BAK Lars Ytting,LTS,LOTTO SOUDAL,DEN,698,17482,33357,50820,71486,89341,107583,123913,127249,148872,166829,182189,200461,224317,226295
113,DE BIE Sean,LTS,LOTTO SOUDAL,BEL,694,17405,33230,50617,71399,89254,107398,123125,126549,148874,167382,182742,200353,224956,226950
114,GREIPEL Andr&#233;,LTS,LOTTO SOUDAL,GER,697,17408,33233,50696,71121,88976,107034,123364,126890,149215,167723,183083
115,HANSEN Adam,LTS,LOTTO SOUDAL,AUS,726,17468,33390,50853,71396,89106,107255,123230,126741,148545,166446,181806,200078,224681,226681
116,LIGTHART Pim,LTS,LOTTO SOUDAL,NED,708,17419,33539,51240,71797,89646,108053,124383,127797,150122,168222,183582,201854,226457,228537
117,MONFORT Maxime,LTS,LOTTO SOUDAL,BEL,701,17412,33237,50519,70958,87899,105967,121377,124675,145616,163421,178781,195344,217632,219539
118,ROELANDTS Jurgen,LTS,LOTTO SOUDAL,BEL,698,17409,33597,51168,71684,89539,107616,123946,127269,149594,167680,183040
